siteNum=50
demandLowerBound=0
demandUpperBound=1000
fixedCostLowerBound=500
fixedCostUpperBound=1500
coordinateLowerBound=0
coordinateUpperBound=1
facilityFailProbility=0.05
Coordinate: index, x, y
0,0.4793520205521684,0.8630599219838706
1,0.32965071290718007,0.2555251029691401
2,0.7712048858989489,0.021410327734988743
3,0.9527082147036217,0.15751423785234853
4,0.37363242091988935,0.7448637910377558
5,0.3478858718216541,0.9939926062253722
6,0.6288102727504516,0.5784275418159505
7,0.5203935650465086,0.7685954450460891
8,0.20817284338194064,0.661034068758747
9,0.6239025433816351,0.6666651070950281
10,0.5221664013477573,0.2635812444367168
11,0.12770587897247254,0.4977479308833592
12,0.49063022841558335,0.9636273057797102
13,0.4534115319568245,0.48861202465335163
14,0.4562806035349244,0.4942759319761798
15,0.27422753412216383,0.2835836100491895
16,0.5255236381918929,0.8842098694277307
17,0.044787892772217064,0.6998991969377626
18,0.17898355092650542,0.40864077861064607
19,0.4087326806182874,0.2723743985480258
20,0.19065245175784384,0.4142194224655069
21,0.7235543019056733,0.5157297206869548
22,0.4481374216150079,0.5050320859274353
23,0.5253096659448906,0.14945410186282249
24,0.4427573826991026,0.10475490897598894
25,0.2205820313279856,0.5881638903356904
26,0.0888724166452799,0.28582480501062146
27,0.47821383121391425,0.5032967092081676
28,0.6284413130063675,0.13302358551970417
29,0.5692170017426249,0.32636632183637937
30,0.7368985320069393,0.09604190294951864
31,0.4078434695968005,0.027980411921655013
32,0.3611719010217801,0.7323763131987656
33,0.49637528755305127,0.976343714848072
34,0.04933637027428339,0.27030344398907913
35,0.36911023195046067,0.8940839761668476
36,0.8989529791108473,0.4501194907729331
37,0.4882861894548981,0.1651417521138796
38,0.7594114263129192,0.8847914639601634
39,0.7256910911218841,0.27733554057420295
40,0.5631339387155865,0.2443897282024079
41,0.42850297695286776,0.842528090479848
42,0.9646557703499619,0.4479751172169114
43,0.7382090865167942,0.4383628080677231
44,0.11557054909498554,0.3296461276777377
45,0.6777348561448077,0.8600609837603352
46,0.3385592816767239,0.4993772528578341
47,0.8372791100959471,0.012097474356832283
48,0.7130380488589085,0.4336933130446844
49,0.2352512291483133,0.15024208160618757
Demand:index, demand
0,73
1,296
2,735
3,252
4,857
5,678
6,209
7,629
8,754
9,422
10,565
11,624
12,651
13,222
14,795
15,403
16,756
17,46
18,50
19,596
20,296
21,884
22,447
23,696
24,772
25,876
26,844
27,807
28,164
29,833
30,506
31,913
32,389
33,117
34,653
35,561
36,68
37,750
38,91
39,704
40,889
41,319
42,298
43,491
44,434
45,562
46,885
47,327
48,974
49,42
Fixcost:index, fixedCost
0,560
1,1404
2,1322
3,1107
4,1400
5,1403
6,742
7,570
8,1087
9,1025
10,1073
11,991
12,917
13,845
14,1184
15,858
16,603
17,1069
18,878
19,1221
20,784
21,935
22,1399
23,735
24,951
25,1234
26,716
27,842
28,1426
29,509
30,637
31,746
32,1484
33,820
34,533
35,736
36,527
37,1355
38,839
39,1184
40,878
41,1059
42,1240
43,522
44,1295
45,696
46,794
47,798
48,1133
49,1149
TransCost:start_index, end_index, transCost
0,1,0.6257068305731374
0,2,0.8908154323486057
0,3,0.8496239161759548
0,4,0.1585779275846437
0,5,0.18554437761548712
0,6,0.3214861754262865
0,7,0.10299488228843971
0,8,0.33816060016220245
0,9,0.24385605788147824
0,10,0.6010056206364414
0,11,0.5070580437481568
0,12,0.10119780954225294
0,13,0.3753453566567889
0,14,0.3695049682604771
0,15,0.6147103797940888
0,16,0.05078521982178435
0,17,0.4641846651395558
0,18,0.5447182532367701
0,19,0.5948919891622133
0,20,0.5336714673185396
0,21,0.4245857074269133
0,22,0.35938597994087285
0,23,0.7150841710460922
0,24,0.7591875000765493
0,25,0.37753110539265633
0,26,0.6969036528347381
0,27,0.35976501322622445
0,28,0.7451044689723149
0,29,0.5441651727955734
0,30,0.8091024947964899
0,31,0.838135586277952
0,32,0.17619519362716804
0,33,0.11455570411412364
0,34,0.732307108861236
0,35,0.11452398828215822
0,36,0.5887145013943831
0,37,0.6979753514334587
0,38,0.28090128278762316
0,39,0.6354179637584141
0,40,0.6243174020358029
0,41,0.05483777292955243
0,42,0.6386040437675163
0,43,0.4973676901131795
0,44,0.6456525651862761
0,45,0.19840550165820683
0,46,0.3899842037091852
0,47,0.923173271223057
0,48,0.48884030592588684
0,49,0.7534550218325526
1,0,0.6257068305731374
1,2,0.49977976716688133
1,3,0.6307192562668154
1,4,0.4913112478667969
1,5,0.7386926115686614
1,6,0.440184537732572
1,7,0.5473792209804855
1,8,0.4233135883953499
1,9,0.5055890057449851
1,10,0.19268417607861577
1,11,0.3153626710878731
1,12,0.726170182559503
1,13,0.2639057661212816
1,14,0.2702537466011215
1,15,0.06212091890979284
1,16,0.6584912591953543
1,17,0.527840091017799
1,18,0.21481388182905153
1,19,0.08085701193196096
1,20,0.21096066847389827
1,21,0.4720873653335449
1,22,0.2762115759438128
1,23,0.2225611897423031
1,24,0.18848015849991062
1,25,0.35006362302032007
1,26,0.24267727519194277
1,27,0.28889750601084874
1,28,0.3229279245978071
1,29,0.24982090592459205
1,30,0.4373621808638795
1,31,0.24060484954093844
1,32,0.47789189363036333
1,33,0.7398490082590615
1,34,0.28070363383649777
1,35,0.6397769050088109
1,36,0.6016411273087671
1,37,0.18257700986528047
1,38,0.762017338294802
1,39,0.3966404875513469
1,40,0.23374861134367167
1,41,0.5952682399166401
1,42,0.6635272646710744
1,43,0.44760425718736124
1,44,0.22654854411738906
1,45,0.6975859817523997
1,46,0.2440148225064612
1,47,0.5629774418253793
1,48,0.42276442666062475
1,49,0.14140642531813208
2,0,0.8908154323486057
2,1,0.49977976716688133
2,3,0.22686500989886368
2,4,0.8254991087059353
2,5,1.0607145120685955
2,6,0.5749299110641454
2,7,0.7881572928032504
2,8,0.8521288699381696
2,9,0.6618547502270126
2,10,0.34737144339123416
2,11,0.8006175641893548
2,12,0.9831047615272926
2,13,0.5650398582517716
2,14,0.5681365885919358
2,15,0.5618908418353764
2,16,0.8970966082981818
2,17,0.9939963750111673
2,18,0.707582879726402
2,19,0.4408730706678251
2,20,0.700956570473643
2,21,0.4966107534108584
2,22,0.5816034658390619
2,23,0.2772357612018233
2,24,0.33885702232719145
2,25,0.7901867682367654
2,26,0.7317736087006386
2,27,0.5639665262892497
2,28,0.18121522303154536
2,29,0.3657830828295862
2,30,0.08213889417545035
2,31,0.36342080961789053
2,32,0.8207311869143026
2,33,0.9936946623335727
2,34,0.7635718284279679
2,35,0.9608534786330984
2,36,0.4473378161881361
2,37,0.3173353291891493
2,38,0.8634616795657355
2,39,0.25994080111018714
2,40,0.3049808716863916
2,41,0.8897634397357598
2,42,0.46838100337293376
2,43,0.41825601446062505
2,44,0.7244761500302954
2,45,0.8438433322092342
2,46,0.6446972935914976
2,47,0.06672729832143837
2,48,0.41636599393696566
2,49,0.551220412348733
3,0,0.8496239161759548
3,1,0.6307192562668154
3,2,0.22686500989886368
3,4,0.8248080216470722
3,5,1.032233562332299
3,6,0.5311100509828962
3,7,0.7485427162784444
3,8,0.8988131837401594
3,9,0.6060922183497148
3,10,0.44341454975397954
3,11,0.892405636375842
3,12,0.9291578680155874
3,13,0.5991017624965548
3,14,0.599873996569123
3,15,0.6900938490729966
3,16,0.8429550423126068
3,17,1.0575919604545563
3,18,0.8134582932211339
3,19,0.5559696378386697
3,20,0.8041309207126333
3,21,0.4252409292307595
3,22,0.6126665814036308
3,23,0.4274745434212885
3,24,0.5126727980355356
3,25,0.8493926486426632
3,26,0.8733131669977099
3,27,0.5871204624778593
3,28,0.32519042973005086
3,29,0.41901853978558845
3,30,0.2243939997059823
3,31,0.5600505356845615
3,32,0.8248524814025183
3,33,0.9374014363115185
3,34,0.910385684382514
3,35,0.9397454894141544
3,36,0.2975020325818867
3,37,0.46448465691552815
3,38,0.7525262865955167
3,39,0.2566981086515601
3,40,0.3991434170009134
3,41,0.8625746979693376
3,42,0.29070649550217753
3,43,0.3533918439705835
3,44,0.854651308239528
3,45,0.754441699605089
3,46,0.7028863585009442
3,47,0.18566074786028516
3,48,0.3656729002402642
3,49,0.7174938399586288
4,0,0.1585779275846437
4,1,0.4913112478667969
4,2,0.8254991087059353
4,3,0.8248080216470722
4,5,0.25045568739250734
4,6,0.30465843352824373
4,7,0.14866749754847405
4,8,0.1854839457646192
4,9,0.26220253310636
4,10,0.5036816782497925
4,11,0.34863464023826124
4,12,0.24808458706871087
4,13,0.2683834464585528
4,14,0.2638654907308503
4,15,0.4718694066074988
4,16,0.20612683339884696
4,17,0.33190441156339334
4,18,0.3885023766661687
4,19,0.4737913615149701
4,20,0.3778986207742551
4,21,0.41826755191881065
4,22,0.2511378942029724
4,23,0.6144254915136294
4,24,0.6438304444769155
4,25,0.21904173263163956
4,26,0.5401898284189506
4,27,0.2632335966451664
4,28,0.6627790043255068
4,29,0.4619452997742938
4,30,0.7435940491469079
4,31,0.7176992232854185
4,32,0.01764090867587176
4,33,0.26200909609507067
4,34,0.5747829603035375
4,35,0.14928869295105932
4,36,0.6023586069748316
4,37,0.5909510377800649
4,38,0.4103720198204498
4,39,0.5852588933505475
4,40,0.5351496172266151
4,41,0.11202273566059202
4,42,0.6614011522628618
4,43,0.47629717368398655
4,44,0.48887793737898055
4,45,0.32519022789882346
4,46,0.24797936511720614
4,47,0.8671301674178147
4,48,0.4604598208868136
4,49,0.610511532703062
5,0,0.18554437761548712
5,1,0.7386926115686614
5,2,1.0607145120685955
5,3,1.032233562332299
5,4,0.25045568739250734
5,6,0.5016102488933122
5,7,0.28383584074151075
5,8,0.3610832563103837
5,9,0.42816876890541167
5,10,0.7509157478717948
5,11,0.5428977869326468
5,12,0.14593835277462247
5,13,0.5162801537702542
5,14,0.511337630520056
5,15,0.7142173986684333
5,16,0.20882390988530924
5,17,0.42232608052340603
5,18,0.6092329243365527
5,19,0.7241789639254926
5,20,0.6007156506967445
5,21,0.6081629362640616
5,22,0.4991320102397746
5,23,0.8629742105486218
5,24,0.8942842309833914
5,25,0.4253271851705525
5,26,0.7540488078630841
5,27,0.5077084206007122
5,28,0.9055269240576043
