siteNum=50
demandLowerBound=0
demandUpperBound=1000
fixedCostLowerBound=500
fixedCostUpperBound=1500
coordinateLowerBound=0
coordinateUpperBound=1
facilityFailProbility=0.05
Coordinate: index, x, y
0,0.8523096605250533,0.7471949223943556
1,0.2975617867313516,0.6038004397444119
2,0.8948924453042392,0.8928439840794054
3,0.8991308059653821,0.36393659318192884
4,0.9797449752662573,0.8511057991272988
5,0.8422532251470795,0.9723502223953165
6,0.6548223266154457,0.27747389106199183
7,0.7475713772127304,0.7476946949282721
8,0.34408452374109577,0.10277238043830106
9,0.764069207747719,0.9815103357774126
10,0.6268955880381168,0.6005461980549222
11,0.28541316108543135,0.05386817254513443
12,0.6904481615363994,0.17461508581607788
13,0.1906763089082144,0.16285799262224387
14,0.4632150243537806,0.8710160658491234
15,0.25997122427805486,0.47717379317696884
16,0.6320628736750477,0.18226511007647794
17,0.14318542092357067,0.5031670333526529
18,0.920702785683858,0.1804616288603138
19,0.15795304208020622,0.7736018702912763
20,0.9510121921681737,0.6270310793946687
21,0.7994511172874922,0.20313071488533097
22,0.11283387388667165,0.14722477818629187
23,0.9846643420390415,0.9207101152950402
24,0.7888748936151854,0.5772307427097246
25,0.3455095662626134,0.15413313755395375
26,0.6085065725876392,0.7867296263704668
27,0.44904143533946084,0.916447797911191
28,0.7947794600916462,0.7944724180700833
29,0.18351144647691908,0.8577969482895555
30,0.7747291285458439,0.4879378972027558
31,0.7715948475686423,0.30288623738445586
32,0.04296938830723773,0.9680858069747159
33,0.7808711031803165,0.248192928715261
34,0.20102314847153235,0.34530186584900724
35,0.6169351658340256,0.5606267655926419
36,0.5961461797515943,0.09750280253247634
37,0.9177611625165643,0.5162710999403873
38,0.9370280916545475,0.9029506768528249
39,0.21296566736830724,0.6988320682047886
40,0.2843119307720917,0.30370017393973325
41,0.6075934045241717,0.7669973465519361
42,0.07502504230548745,0.32234870483059397
43,0.1531087862099635,0.8678727302818008
44,0.5693888432173991,0.3848122818808739
45,0.6976480855704502,0.8405425662065358
46,0.3400032394458047,0.44684828377914454
47,0.9335413022964626,0.957338143333141
48,0.20664181470703502,0.18242059189989435
49,0.1234288768916163,0.620816232430427
Demand:index, demand
0,440
1,283
2,779
3,798
4,293
5,847
6,960
7,615
8,8
9,923
10,959
11,644
12,13
13,462
14,268
15,94
16,197
17,234
18,845
19,505
20,464
21,493
22,397
23,221
24,276
25,399
26,149
27,213
28,364
29,791
30,897
31,228
32,238
33,951
34,954
35,786
36,594
37,292
38,790
39,906
40,579
41,587
42,421
43,33
44,333
45,964
46,441
47,486
48,468
49,640
Fixcost:index, fixedCost
0,549
1,1257
2,867
3,765
4,669
5,723
6,1163
7,909
8,1109
9,747
10,597
11,815
12,1160
13,595
14,947
15,773
16,547
17,820
18,1419
19,838
20,1460
21,1226
22,1110
23,1032
24,1060
25,847
26,1262
27,503
28,1286
29,946
30,928
31,603
32,847
33,751
34,1491
35,662
36,889
37,1272
38,747
39,779
40,601
41,1452
42,1342
43,1487
44,1085
45,923
46,739
47,621
48,1387
49,1205
TransCost:start_index, end_index, transCost
0,1,0.5729809605327892
0,2,0.15174631043055345
0,3,0.38610771369016356
0,4,0.16443001473757346
0,5,0.2253797706339992
0,6,0.5095479313378324
0,7,0.10473947567081898
0,8,0.8207150554487076
0,9,0.2503798922741638
0,10,0.26891885844159197
0,11,0.89558563137948
0,12,0.5950183309032262
0,13,0.8827277833325681
0,14,0.40832133358875733
0,15,0.650980977663228
0,16,0.6063450667427454
0,17,0.7499378626396527
0,18,0.5708452028080208
0,19,0.694858575881016
0,20,0.15550414437311494
0,21,0.5466259118315012
0,22,0.9522544896011245
0,23,0.21823217885094545
0,24,0.1814160743395656
0,25,0.7801080798084975
0,26,0.24698772946504294
0,27,0.4373463127946263
0,28,0.0744639883385012
0,29,0.6778818918116167
0,30,0.2706158606833216
0,31,0.4515806557037344
0,32,0.8389424647282446
0,33,0.5040897312693529
0,34,0.7653052656830499
0,35,0.30034784814185944
0,36,0.6983692286266605
0,37,0.24002023016757695
0,38,0.17730501295781187
0,39,0.6411705757838352
0,40,0.7206309824808722
0,41,0.24551615416018102
0,42,0.8858135731060861
0,43,0.7095385796131913
0,44,0.4597448934045427
0,45,0.18064879012250254
0,46,0.5938568618838083
0,47,0.2252970326733261
0,48,0.8578210836233551
0,49,0.7397558854291677
1,0,0.5729809605327892
1,2,0.6635887929982354
1,3,0.6476263967674138
1,4,0.7256265179134164
1,5,0.6576607829081978
1,6,0.4838637305412075
1,7,0.47245548806224713
1,8,0.5031833475691794
1,9,0.6002448995406813
1,10,0.3293498789617776
1,11,0.5500664392707687
