siteNum=50
demandLowerBound=0
demandUpperBound=1000
fixedCostLowerBound=500
fixedCostUpperBound=1500
coordinateLowerBound=0
coordinateUpperBound=1
facilityFailProbility=0.05
Coordinate: index, x, y
0,0.1170149234539426,0.8222592590451087
1,0.23155908544745163,0.5257667849183439
2,0.6155216221612477,0.5236050932227104
3,0.026678977718733288,0.48322095859134095
4,0.9817613071819529,0.8562760535926691
5,0.5706691477468216,0.5827652662337847
6,0.31866717012083023,0.07794289015992817
7,0.5250193913892927,0.14144331851855085
8,0.15260737756848897,0.5087433623069275
9,0.2708461645143686,0.06542375266506217
10,0.98323568168129,0.5077605757047613
11,0.3310501935647714,0.9123717162651488
12,0.7069552338204935,0.7922958905238696
13,0.4982026800994491,0.0987393141717251
14,0.6018865332439928,0.6678964964536653
15,0.03709100477313687,0.02054524181066275
16,0.14664443775612512,0.45800365907492135
17,0.9851483854424009,0.11130790058331097
18,0.5731928328520175,0.392693498914248
19,0.2637838286852874,0.13952003970291293
20,0.08563069533893664,0.18770191278968784
21,0.6957582792812924,0.0019735649162487823
22,0.5128017845858316,0.7695085933372707
23,0.7984300423702146,0.8858516993834608
24,0.6535774252961413,0.1285701264852802
25,0.7205341976674392,0.005027079719818861
26,0.20311291221053607,0.7174306276282189
27,0.9723931447874727,0.24087232525645208
28,0.6157481608444574,0.7862546565959992
29,0.9582784576153003,0.6774590995219837
30,0.3898486367223972,0.3739450675352858
31,0.6187929881347461,0.012652748026301786
32,0.4059307455318446,0.6373945922950685
33,0.48886834182153316,0.7302344290631279
34,0.38043878049230095,0.9802350208524413
35,0.08461053213253145,0.5962406873072476
36,0.10237103776547196,0.4014759257257384
37,0.37012288946178384,0.46971407920614017
38,0.37441851082497746,0.7766193119868811
39,0.7763987795523577,0.9625833382630212
40,0.15789828861378097,0.6206800942031043
41,0.42412806870236197,0.2500672659104849
42,0.4985237802706217,0.8276452996714541
43,0.880104004075129,0.7974663442699853
44,0.06478967251749423,0.969876102956365
45,0.3315361246026889,0.09831725311438777
46,0.4009454635972489,0.46752291679808233
47,0.6414566912750179,0.8341884553416334
48,0.24671851923663712,0.21172641571582684
49,0.7024442961457498,0.9651960563241987
Demand:index, demand
0,854
1,400
2,893
3,193
4,593
5,523
6,755
7,763
8,540
9,632
10,330
11,491
12,144
13,30
14,185
15,977
16,102
17,857
18,524
19,209
20,783
21,109
22,374
23,810
24,709
25,337
26,993
27,761
28,127
29,793
30,700
31,554
32,738
33,422
34,418
35,402
36,21
37,168
38,219
39,944
40,757
41,868
42,125
43,238
44,149
45,659
46,305
47,727
48,612
49,218
Fixcost:index, fixedCost
0,956
1,1149
2,581
3,949
4,1117
5,860
6,1128
7,1035
8,901
9,1064
10,1448
11,1366
12,1405
13,910
14,1298
15,1203
16,1467
17,884
18,803
19,1007
20,928
21,1147
22,1096
23,1083
24,1234
25,657
26,1311
27,576
28,958
29,568
30,703
31,1094
32,1449
33,705
34,674
35,878
36,1363
37,550
38,564
39,877
40,616
41,1170
42,1028
43,1047
44,705
45,541
46,840
47,1152
48,1118
49,1360
TransCost:start_index, end_index, transCost
0,1,0.317849260280098
0,2,0.5811223962463746
0,3,0.35086685831872744
0,4,0.8654151896528984
0,5,0.5129907677643764
0,6,0.7711488089702424
0,7,0.7937115286615595
0,8,0.315529777196134
0,9,0.7723108405582122
0,10,0.9215464306299346
0,11,0.23223124638525497
0,12,0.5907007476282063
0,13,0.8177928933697198
0,14,0.508850017642976
0,15,0.8056880278417258
0,16,0.3654586847065265
0,17,1.1220996131907102
0,18,0.6265979790101484
0,19,0.6983365615308984
0,20,0.6353329799885228
0,21,1.0038986462321622
0,22,0.39928670423300255
0,23,0.6843760389989293
0,24,0.8769857074176105
0,25,1.0159251691300637
0,26,0.13565362373585393
0,27,1.0342546438435214
0,28,0.500031172503817
0,29,0.853634242581435
0,30,0.524808393039745
0,31,0.9524935321979138
0,32,0.342997517862088
0,33,0.383071186706694
0,34,0.30716196017015607
0,35,0.22832967250739403
0,36,0.42103807071025917
0,37,0.43399509937822706
0,38,0.26141846063152424
0,39,0.6741497733379211
0,40,0.20568327410169415
0,41,0.649401386656781
0,42,0.38154687426736705
0,43,0.7634917377328546
0,44,0.1565829155485847
0,45,0.7550571989546864
0,46,0.4543725609418653
0,47,0.524577423798981
0,48,0.6241581334427182
0,49,0.602626317403021
1,0,0.317849260280098
1,2,0.3839686217787596
