siteNum=50
demandLowerBound=0
demandUpperBound=1000
fixedCostLowerBound=500
fixedCostUpperBound=1500
coordinateLowerBound=0
coordinateUpperBound=1
facilityFailProbility=0.05
Coordinate: index, x, y
0,0.6712651699312736,0.5046596452901447
1,0.6490739400526638,0.3804947979487596
2,0.862715962921281,0.8659875616742503
3,0.7451248063705214,0.9269400614410896
4,0.6988248847999913,0.4081443604770678
5,0.5605406400064243,0.9994358534394202
6,0.5629533101423396,0.9362543607241571
7,0.36050045640835626,0.06491831944503368
8,0.4603102758749259,0.6624815883998312
9,0.03827066117196909,0.5599626474282569
10,0.9540816764713425,0.07688463001847234
11,0.03045240848520181,0.8743576402925161
12,0.34917080547492363,0.09077492800408526
13,0.4162835507746966,0.39559584753851285
14,0.5344227337137943,0.7537202663731866
15,0.5541519394155522,0.8495060443134413
16,0.3421538530092819,0.5958238896979251
17,0.9765606619138242,0.021107458779569432
18,0.35818648158007327,0.3482342240376164
19,0.4444214225346279,0.12122861282120678
20,0.2188636532347512,0.7433640283005449
21,0.14758574053840479,0.9606866834045615
22,0.26670014877292614,0.15588120612301104
23,0.49582319710367107,0.36109718485305675
24,0.5163635516377858,0.09024204903788513
25,0.9369191468374793,0.14202797425184088
26,0.028214455173497632,0.5245560343815509
27,0.6746062405105681,0.19847854069962179
28,0.6969867033259927,0.322445772598432
29,0.6935573586820927,0.7475297177490929
30,0.6701661364496253,0.5836266826224036
31,0.8355238579025662,0.17303260413625632
32,0.750043389609683,0.024986981848336254
33,0.1476616208140148,0.7072893247930678
34,0.9072604562202419,0.6128676166343441
35,0.7350812674776951,0.7538243300976144
36,0.06504785741069874,0.29223290427378623
37,0.33922959294337174,0.5874891116120088
38,0.7325789337214501,0.5867078508474683
39,0.8895000998395192,0.7438753038308948
40,0.5548174438264225,0.7605601615443931
41,0.4574435562675362,0.019811316826998326
42,0.16792913238245744,0.8592930083636413
43,0.7302225075647154,0.8996861156605029
44,0.5830862395035279,0.5325229791193673
45,0.28625303450258155,0.03214631841324289
46,0.3973479248541415,0.8777754869183163
47,0.49200655138187255,0.5530024254646084
48,0.03965592909369653,0.206321776904691
49,0.6185012325888756,0.8929466014160055
Demand:index, demand
0,265
1,958
2,79
3,85
4,630
5,679
6,731
7,389
8,557
9,398
10,708
11,630
12,625
13,528
14,617
15,249
16,822
17,822
18,895
19,867
20,161
21,459
22,940
23,674
24,429
25,87
26,847
27,717
28,694
29,377
30,792
31,208
32,121
33,718
34,603
35,954
36,517
37,861
38,48
39,683
40,345
41,7
42,126
43,25
44,351
45,509
46,777
47,812
48,303
49,807
Fixcost:index, fixedCost
0,1008
1,1035
2,1227
3,887
4,686
5,1436
6,685
7,598
8,1094
9,1099
10,799
11,740
12,1399
13,859
14,1477
15,1099
16,794
17,812
18,1004
19,770
20,865
21,882
22,734
23,603
24,502
25,786
26,1161
27,1455
28,559
29,1355
30,855
31,974
32,871
33,1127
34,1457
35,1400
36,577
37,593
38,1195
39,905
40,769
41,961
42,1134
43,619
44,582
45,928
46,618
47,806
48,1336
49,737
TransCost:start_index, end_index, transCost
0,1,0.1261323114782044
0,2,0.40891474575390635
0,3,0.4286910259843948
0,4,0.1003729948053478
0,5,0.5070142184176436
0,6,0.44497804143744424
0,7,0.5384673999667918
0,8,0.26345726988117446
0,9,0.6354057523857659
0,10,0.5128124804080029
0,11,0.7398091664347729
0,12,0.524447651169782
0,13,0.2773274924844606
0,14,0.28417784101545535
0,15,0.3641902630235509
0,16,0.34150428750539746
0,17,0.5718636677600928
0,18,0.3499816816831118
0,19,0.44550807219751803
0,20,0.5115143348701868
0,21,0.6944068002695887
0,22,0.5341528395250896
0,23,0.22669377114599262
0,24,0.4424211290540295
0,25,0.44952615528589157
0,26,0.6433584444532948
0,27,0.30619933305101854
0,28,0.1840203594211449
0,29,0.24389098748317228
0,30,0.07897468492895775
0,31,0.3700775742983264
0,32,0.4860986236856243
0,33,0.5614440877448501
0,34,0.2596203771144306
0,35,0.25720718197838116
0,36,0.6423585838910377
0,37,0.3422109654538465
0,38,0.10242697723400017
0,39,0.3238064482420657
0,40,0.28114968812748353
0,41,0.5299033724022444
0,42,0.6157207068957172
0,43,0.39940190279227156
0,44,0.09247642479821502
0,45,0.6095106139384608
0,46,0.46286724708553795
0,47,0.18566280381173877
0,48,0.6985239557983655
0,49,0.3918555771982308
1,0,0.1261323114782044
