siteNum=50
demandLowerBound=0
demandUpperBound=1000
fixedCostLowerBound=500
fixedCostUpperBound=1500
coordinateLowerBound=0
coordinateUpperBound=1
facilityFailProbility=0.05
Coordinate: index, x, y
0,0.5901726315150498,0.2861275652554949
1,0.5417030497869983,0.6073285447848248
2,0.6944033430283906,0.03801645678897958
3,0.017634875848773546,0.6360293189176757
4,0.8986723305809449,0.964328566202289
5,0.015827587639212437,0.3526860899801063
6,0.7152929367571773,0.8531737038890391
7,0.6670400680365012,0.29368737219568064
8,0.3095284045769321,0.3445351953480489
9,0.5544440738443931,0.44774389500587386
10,0.3037739151208565,0.312473172592867
11,0.40047513321134853,0.9057695795926164
12,0.6676676053897901,0.8466832316153109
13,0.9001333655543341,0.06375257225526787
14,0.17715471437502228,0.3969393412600478
15,0.4175231298397224,0.796284942402702
16,0.8384438815562169,0.0033222311164063933
17,0.6661765898073663,0.2079150613332834
18,0.9211469637108743,0.8630181874347614
19,0.30361223313891805,0.5070139142958932
20,0.5732302611493619,0.08594655397021567
21,0.46201068876922624,0.8195262258589132
22,0.29932686896314187,0.22679036834889743
23,0.8180877565854121,0.9389630483198933
24,0.16526627779038017,0.029924192929180915
25,0.517941869979915,0.026533325577862255
26,0.07512405873175998,0.2062315864717359
27,0.1663179109327727,0.8189544748263273
28,0.956608977900666,0.3418178800497469
29,0.04912241235888948,0.1668724843821373
30,0.7050370016648754,0.8162421638604468
31,0.015065895092939097,0.7690727347310924
32,0.3455633890829922,0.7284673478575879
33,0.17133800163799118,0.4094007838374145
34,0.9350669143086945,0.5247634458725732
35,0.7460320054458602,0.03300348641958706
36,0.49620333733817334,0.7087267754084391
37,0.3556207572583159,0.012617465329099575
38,0.40821552408105044,0.440654213235261
39,0.22333946901171242,0.5611986281323411
40,0.3377697100520748,0.6489530361238567
41,0.06912279677081179,0.4230527187119488
42,0.6749475940540252,0.015107126575176655
43,0.2518626503526902,0.20822156496565647
44,0.9000732209463981,0.6260076838413402
45,0.8154045677825361,0.4609972933992639
46,0.5567818285939207,0.640336980294189
47,0.6490541887182406,0.32951217143079614
48,0.7735079110861828,0.392356991506284
49,0.46851598665297256,0.09467095380470436
Demand:index, demand
0,879
1,896
2,649
3,751
4,854
5,349
6,964
7,737
8,977
9,501
10,539
11,754
12,839
13,122
14,18
15,198
16,491
17,508
18,905
19,313
20,198
21,554
22,81
23,157
24,870
25,792
26,424
27,770
28,337
29,144
30,698
31,725
32,730
33,255
34,260
35,140
36,804
37,258
38,828
39,998
40,7
41,436
42,645
43,953
44,379
45,478
46,649
47,682
48,244
49,169
Fixcost:index, fixedCost
0,1482
1,675
2,588
3,1465
4,1264
5,845
6,1262
7,1253
8,877
9,505
10,1163
11,1337
12,1221
13,582
14,1274
15,666
16,668
17,1057
18,695
19,639
20,759
21,1287
22,756
23,619
24,859
25,1413
26,1016
27,1364
28,1123
29,1372
30,1192
31,1389
32,1057
33,1482
34,1241
35,704
36,1115
37,1385
38,980
39,1273
40,975
41,1422
42,1202
43,1138
44,733
45,787
46,693
47,792
48,1182
49,1488
TransCost:start_index, end_index, transCost
0,1,0.3248374510482024
0,2,0.2691155204871324
0,3,0.6709923389124842
0,4,0.7450695685699298
0,5,0.5781887811418122
0,6,0.5806861580260855
0,7,0.07723829023452183
0,8,0.28665769371625516
0,9,0.16551848197469876
0,10,0.2876079202285928
0,11,0.6480288317617112
0,12,0.5658870258840929
0,13,0.3814790874452005
0,14,0.4276248935456984
0,15,0.538579984669368
0,16,0.37632096754569117
0,17,0.10905868808069406
0,18,0.6650915715379749
0,19,0.3618116099711064
0,20,0.20089669283690367
0,21,0.5485796338745218
0,22,0.296836925821457
0,23,0.6914762990759447
0,24,0.4961709155391617
0,25,0.26945584459379185
0,26,0.5212085952398701
0,27,0.6808504532734662
0,28,0.3706440436784627
0,29,0.5540371052222407
0,30,0.5424161789474992
0,31,0.7509885451842157
0,32,0.5054682628569791
0,33,0.4365990535992932
0,34,0.41940332595442176
0,35,0.29726073358018723
0,36,0.43292068635027436
0,37,0.360308696091412
0,38,0.2387192365135465
0,39,0.45850916974952405
0,40,0.44198366154632146
0,41,0.5387405942901196
0,42,0.28396984427216354
0,43,0.34716420932353675
0,44,0.4599531175455009
0,45,0.2851470619450193
0,46,0.3557797850100136
0,47,0.07313864800267103
0,48,0.21188797921778696
0,49,0.22683909122396995
1,0,0.3248374510482024
1,2,0.5894350117648223
1,3,0.5248534894337374
1,4,0.5048525356206676
1,5,0.5842839904345494
1,6,0.30095396842922
1,7,0.3377575362397848
1,8,0.3506642416708889
1,9,0.16009245497243627
1,10,0.3788798802172491
1,11,0.33017022227548654
1,12,0.2704768666188088
1,13,0.6511122247143926
1,14,0.42090272725587397
1,15,0.2261087630297357
1,16,0.6729626647819323
1,17,0.4183596454345195
1,18,0.4575531413642815
1,19,0.25836072081932404
1,20,0.5223343234003412
1,21,0.22666876330409416
1,22,0.4511712720862663
1,23,0.43170586061228833
1,24,0.6892752925015303
1,25,0.5812810682617215
1,26,0.6152842634605048
1,27,0.4309286910134172
1,28,0.4925879030913436
1,29,0.6607853096994045
1,30,0.26518461507281815
1,31,0.5509154886964323
1,32,0.23053280918555677
1,33,0.4199353134044237
1,34,0.4019354742615202
1,35,0.6095896937997516
1,36,0.11113876464368963
1,37,0.6231435529796678
1,38,0.21353981435926656
1,39,0.321688263345785
1,40,0.20813794784871134
1,41,0.5072372971457084
1,42,0.6070257957971593
1,43,0.49324825238881215
1,44,0.358856642425231
1,45,0.3103632647159227
1,46,0.03628948036392837
1,47,0.29783586811097806
1,48,0.31614278805774243
1,49,0.5178553386803348
2,0,0.2691155204871324
2,1,0.5894350117648223
2,3,0.9031250973370207
2,4,0.9485673109070756
2,5,0.7479853166036295
2,6,0.815424866327917
2,7,0.25713102847222125
2,8,0.4920187550651469
2,9,0.4329724825647671
2,10,0.4774074138481965
2,11,0.9161819004224624
2,12,0.809108615931817
2,13,0.20733352311630493
2,14,0.6295806388706866
2,15,0.8072383469151663
2,16,0.14815993397138663
2,17,0.17222742355241324
2,18,0.8555936682144961
2,19,0.6104721997901256
2,20,0.1303081347724098
2,21,0.8153305249439399
2,22,0.4378595779989982
2,23,0.9093968302936377
2,24,0.529198940421342
2,25,0.17683470748936594
2,26,0.6417189118400155
2,27,0.942729235574943
2,28,0.4013067402050966
2,29,0.6580207863987171
2,30,0.7782983527175696
2,31,0.9979692628964221
2,32,0.7735707766236151
2,33,0.6415011065782147
2,34,0.5429931729988268
2,35,0.05187146281860048
2,36,0.6993822801288427
2,37,0.3397333501265913
2,38,0.4939844437124823
2,39,0.7040033791219722
2,40,0.7074115154132607
2,41,0.734321921587385
2,42,0.03005600736955234
2,43,0.4741434841093179
2,44,0.622923576190008
2,45,0.4399478202372859
2,46,0.6178427747176676
2,47,0.29500219906161573
2,48,0.3630630072471651
2,49,0.23288372592858408
3,0,0.6709923389124842
3,1,0.5248534894337374
3,2,0.9031250973370207
3,4,0.9402166731177375
3,5,0.2833489927200029
3,6,0.7306698665437529
3,7,0.7341151899571243
3,8,0.41251746167768605
3,9,0.5688721437285774
3,10,0.4319307000203987
3,11,0.46832304116541995
3,12,0.6833137057087083
3,13,1.0518099919201684
3,14,0.2874205912939528
3,15,0.4308044574264572
3,16,1.0363617528664422
3,17,0.777102420721609
3,18,0.9315889862721647
